YYYYMM,abcp_denom_prev_balance_total_amt,abcp_bucket_issue_amt_ultra,abcp_rollover_ultra,abcp_bucket_issue_amt_short,abcp_rollover_short,abcp_bucket_issue_amt_main,abcp_rollover_main,abcp_bucket_issue_amt_mid,abcp_rollover_mid,abcp_bucket_issue_amt_long,abcp_rollover_long,abcp_bucket_issue_amt_ultra_long,abcp_rollover_ultra_long
202309,84890800000000.0,738652362240.2413,0.008701206281955658,2647016727856.7153,0.031181432238319293,4159463953992.917,0.048997817831766426,6154326017876.472,0.07249697279182753,4180758197807.3267,0.04924866060641821,1235762287.324237,1.455708141900226e-05
202310,78137900000000.0,700127492853.3955,0.008960152408157828,3730715311108.9136,0.047745272282834754,7986860810296.549,0.10221494064079721,8435194014861.896,0.10795265824730248,5541612117903.864,0.0709209246460919,1577888523.379842,2.0193638725635602e-05
202311,81970900000000.0,646437006883.1438,0.007886176763743522,3066736675589.0244,0.037412504627727945,5609869328963.648,0.06843732750236546,5044879888855.436,0.061544766360445424,4661464019505.112,0.05686730314666683,997874960.631859,1.2173526954466267e-05
202312,83912000000000.0,616188658486.6815,0.007343272219547639,2448449428669.113,0.02917877572539223,4501290864552.366,0.053642993428262536,6597894913818.064,0.07862874098839337,3955915517757.217,0.0471436209094911,955487154.5556291,1.1386776081557216e-05
202401,83445500000000.0,794346334704.8755,0.00951934298080634,2455964972763.1255,0.029431964249277978,6413067613523.561,0.07685336673066326,9500234723122.838,0.11384957514932306,4267935535826.843,0.05114638339786858,109888994.75417198,1.3168953958472534e-06
202402,85292100000000.0,821224895389.522,0.009628381706975464,2886586425143.774,0.033843537972963196,4302601321972.591,0.050445484657695036,4783993655427.804,0.05608952828489161,2890111170468.307,0.03388486355088346,0.0,0.0
202403,86148600000000.0,363618653008.1274,0.00422083066942617,2025026264058.2412,0.02350620049609908,2773088513073.755,0.03218959464313703,4141892283424.1064,0.04807846306758446,1645616696160.7688,0.01910207126013387,0.0,0.0
202404,74805700000000.0,702873197483.6287,0.009395984496951818,3048136621018.1533,0.040747384504364687,5266940904033.027,0.0704082831125573,9543470802519.809,0.1275767862946247,4349365029717.377,0.05814216068718529,0.0,0.0
202405,74409300000000.0,939948324686.3418,0.012632135024605013,3172620906626.248,0.04263742444326513,5173288845457.307,0.06952476162868494,6372010550141.919,0.0856345987684593,2864785741196.1807,0.03850037214697868,0.0,0.0
202406,77181600000000.0,830771644492.5737,0.010763856210451374,2763209969514.32,0.035801408230903733,5287570049207.136,0.06850816838737647,5812527036867.804,0.0753097504699022,2399404181178.1636,0.031087774562566253,0.0,0.0
