YYYYMM,cp_denom_prev_balance_total_amt,cp_bucket_issue_amt_ultra,cp_rollover_ultra,cp_bucket_issue_amt_short,cp_rollover_short,cp_bucket_issue_amt_main,cp_rollover_main,cp_bucket_issue_amt_mid,cp_rollover_mid,cp_bucket_issue_amt_long,cp_rollover_long,cp_bucket_issue_amt_ultra_long,cp_rollover_ultra_long
201911,50158174224600.0,1161099999999.9993,0.023148769227539775,6482100000000.0,0.12923317286179975,5645500000000.0,0.11255393736463344,1935099999999.9985,0.03857995291724418,2127299999999.999,0.04241183083088913,459999999999.9983,0.009170987722563315
201912,51721274224600.0,1331300000000.0,0.02573989175554377,5229799999999.999,0.10111506490133161,4012000000000.0,0.07756962797509322,2041499999999.9993,0.03947118532182272,2437700000000.0,0.04713147610041993,374999999999.99927,0.007250401418409746
202001,51217024224600.0,915499999999.9984,0.017874915887055295,5350399999999.999,0.10446526484118056,7562799999999.999,0.14766183929068488,1633399999999.9998,0.03189173960668068,1804499999999.9995,0.03523242568890369,0.0,0.0
202002,56830224224600.0,1157999999999.9988,0.020376481279106715,5358800000000.0,0.09429489454099929,5869600000000.0,0.10328306953009059,1369099999999.999,0.024091053988968058,2051999999999.9998,0.03610754713706996,29999999999.99911,0.000527888116039019
202003,58050724224600.0,1581299999999.9998,0.027239970235029325,4048999999999.999,0.06974934514743168,5806800000000.0,0.1000297597930616,3673900000000.0,0.06328775478813271,6036200000000.0,0.10398147621114529,99999999999.99933,0.0017226313941079584
202004,63136674224600.0,576699999999.9991,0.009134152330362992,2527999999999.9995,0.040040119804330976,7338000000000.0,0.1162240502864639,2025499999999.999,0.03208119567392103,3044199999999.9985,0.048216033508047595,0.0,0.0
202005,64861474224600.0,331499999999.9988,0.005110892158449751,1725399999999.9988,0.026601307180057997,5307499999999.999,0.08182823568920708,2180999999999.9993,0.03362550768500436,3001799999999.9995,0.04628016917416144,49999999999.999344,0.0007708736287254453
202006,65361674224600.0,61999999999.999176,0.0009485681132792097,2478200000000.0,0.0379151854569124,4605749999999.999,0.07046560625380287,925999999999.9991,0.014167323756396115,1817700000000.0,0.02780987515334907,579999999999.9993,0.008873701704870134
202007,63580624224600.0,241999999999.9995,0.0038061910047490098,2862099999999.9995,0.04501528625905852,6869199999999.999,0.10803920351166094,915329999999.9998,0.014396366993293047,2066199999999.9995,0.03249732171079512,1309999999999.999,0.020603761224054586
202008,64120879280800.0,437999999999.99994,0.0068308483120123435,2553000000000.0,0.03981542406522264,5184500000000.0,0.08085509834161644,571299999999.9996,0.008909734339389613,1714199999999.9995,0.02673388168139625,829999999999.9999,0.012944301595822478
202009,63432349280800.0,229999999999.99948,0.003625910164257734,2904400000000.0,0.04578736296117472,4328999999999.999,0.06824593522205114,1138599999999.999,0.01794983179575592,2372300000000.0,0.037398898620298444,1189999999999.9998,0.018760143893333532
202010,62132749280800.0,270999999999.99863,0.00436162898208887,2687799999999.9995,0.04325899032493919,6166400000000.0,0.09924556810019534,1545099999999.999,0.024867723026662517,2218980000000.0,0.03571353313164431,1489999999999.9988,0.02398091211554407
202011,62443103285200.0,331999999999.99963,0.005316840171822288,2684999999999.9995,0.04299914416067125,5224500000000.0,0.08366816710146258,846900000000.0,0.013562746811796086,1957900000000.0,0.03135494389280382,639999999999.9995,0.010249330451705618
202012,60088803285200.0,211999999999.99948,0.003528111535085531,2188999999999.9998,0.03642941580331248,3913999999999.999,0.06513692711473962,1290000000000.0,0.021468225850284652,3955800000000.0,0.06583256420043103,1406999999999.999,0.023415344008798827
202101,61047303285200.0,319999999999.9991,0.005241836785238936,2364999999999.999,0.0387404499909066,7584300000000.0,0.1242364460321493,1415499999999.9998,0.023186937404705416,2264849999999.9995,0.03709991888452636,99999999999.99866,0.0016380739953871502
202102,63760536185000.0,242999999999.99902,0.0038111348263279825,1983999999999.9998,0.031116425907138878,5322000000000.0,0.08346855780130702,921499999999.9989,0.014452513343461917,2245550000000.0,0.035218493042225664,764999999999.9989,0.011998017045847383
202103,64049986185000.0,199499999999.999,0.0031147547701847952,1956599999999.9993,0.03054801595660952,4266599999999.999,0.06661359750611785,1585200000000.0,0.024749419858130138,3336400000000.0,0.052090565489947886,480000000000.0,0.007494146815482252
202104,64219486185000.0,475999999999.9997,0.007412080480195136,2452999999999.999,0.03819712902924091,7251900000000.0,0.11292366897967887,898599999999.9988,0.013992637646015429,2349699999999.9995,0.03658858299225739,1959999999999.999,0.0305203313890388
202105,65142648330200.0,98999999999.99866,0.0015197417135726498,3195499999999.9995,0.04905388531031785,6085000000000.0,0.0934103871423202,1211499999999.9988,0.01859764733326554,2950099999999.999,0.04528676797182559,509999999999.99915,0.007828972463859198
202106,66493748330200.0,869999999999.9994,0.0130839367887592,4104900000000.0,0.06173362313123871,3851800000000.0,0.057927250256256,1681399999999.9995,0.02528658772025256,1759699999999.9988,0.026464142031240877,1949999999999.9998,0.02932606521618443
202107,68659348330200.0,329999999999.99994,0.004806337491188342,3145900000000.0,0.04581896095008911,7426900000000.0,0.1081702664039597,1089599999999.9993,0.015869652516360046,2134000000000.0,0.03108098244301795,1469999999999.999,0.021410048824384423
