YYYYMM,abstb_denom_prev_balance_total_amt,abstb_bucket_issue_amt_ultra,abstb_rollover_ultra,abstb_bucket_issue_amt_short,abstb_rollover_short,abstb_bucket_issue_amt_main,abstb_rollover_main,abstb_bucket_issue_amt_mid,abstb_rollover_mid,abstb_bucket_issue_amt_long,abstb_rollover_long,abstb_bucket_issue_amt_ultra_long,abstb_rollover_ultra_long
201804,16694796845000.0,1198365000000,0.07178074768600157,9865023990000,0.5909041051286898,1582197300000,0.09477188100518033,15101891000000,0.9045866889073846,1151292000000,0.06896112667251807,0,0.0
201805,15837559645000.0,1141843600000,0.0720971933551951,11041557250000,0.6971754170148226,840701300000,0.053082755098915364,17403219900000,1.0988574180678325,1063252000000,0.06713483793165535,0,0.0
201806,17139212025000.0,1343187600000,0.07836927380563168,9544825000000,0.5568998729975161,391337000000,0.022832846657663074,15719928150000,0.9171908327565018,1109900000000,0.06475793626807648,0,0.0
201807,15673113875000.0,1599723790000,0.10206802571323753,11690015350000,0.7458642515605406,1738788000000,0.11094081328494144,14149444300000,0.902784501717276,283180000000,0.018067883782283817,0,0.0
201808,16402900720000.0,2684527030000,0.16366172519271335,7143793000000,0.43552010232492583,1019652000000,0.062162907488475,17448862220000,1.0637668615969043,267060000000,0.016281266622212416,0,0.0
201809,15769522125000.0,1790443665000,0.11353823221830826,9639232990000,0.611257139791102,864830000000,0.054841864778448386,15202823220000,0.9640636602359947,261830000000,0.016603546887759606,0,0.0
201810,15395104937500.0,3823125060000,0.24833380970905122,10699581970000,0.6949989632053458,687036000000,0.04462691243672466,13511947020000,0.877678136969828,95690000000,0.006215612065554327,0,0.0
201811,16187965025000.0,2143424480000,0.13240851933456657,5878693020000,0.3631520707464588,216460000000,0.013371662198782148,19509781040000,1.2052028164052695,52780000000,0.003260446876336144,0,0.0
201812,15792944270000.0,2221513270000,0.140664921753694,11540372200000,0.7307296222099566,261830000000,0.016578922557041353,15449564670000,0.978257404437735,2180000000,0.0001380363257623273,0,0.0
201901,16710905070000.0,1514453870000,0.09062668141887781,12685355440000,0.7591064270225072,94430000000,0.005650801055026279,15689758830000,0.9388934210491569,2480000000,0.00014840608510500024,0,0.0
201902,16961814070000.0,1903850320000,0.11224331973826429,9440983970000,0.5566022555746598,122800000000,0.007239791657496927,18115750820000,1.0680314467095204,2480000000,0.00014621077614488908,0,0.0
201903,16610257555000.0,1838185260000,0.11066566872388271,14324672240000,0.862399164646788,70000000000,0.004214263371185878,15804921980000,0.9515157683537797,3080000000,0.00018542758833217863,0,0.0
201904,17923904740000.0,1429741740000,0.07976731413938545,11386342240000,0.6352601403080208,770286000000,0.04297534556077986,19466884160000,1.0860850044888155,900000000,5.021227310986032e-05,0,0.0
