YYYYMM,abcp_denom_prev_balance_total_amt,abcp_bucket_issue_amt_ultra,abcp_rollover_ultra,abcp_bucket_issue_amt_short,abcp_rollover_short,abcp_bucket_issue_amt_main,abcp_rollover_main,abcp_bucket_issue_amt_mid,abcp_rollover_mid,abcp_bucket_issue_amt_long,abcp_rollover_long,abcp_bucket_issue_amt_ultra_long,abcp_rollover_ultra_long
201703,106992600000000.0,2395271000000,0.0223872585580685,8650669000000,0.08085296553219569,19309342000000,0.1804736215401813,22731340701550,0.21245712975990863,37706326000000,0.3524199430614828,0,0.0
201704,104972750000000.0,1140468000000,0.010864419575556514,11613279087663,0.11063136945219593,24315506000000,0.23163636277033803,22358927613887,0.21299744565982123,32018964000000,0.3050216746727127,0,0.0
201705,105612750000000.0,1785905000000,0.016909937483873868,10394261385098,0.098418622610414,28050878000000,0.2656012460616734,18872096000000,0.17869145534038267,30140554000000,0.2853874555865651,0,0.0
201706,103386650000000.0,1872089000000,0.0181076473606602,9336094000000,0.09030270349218202,27915770000000,0.27001329475323943,18815923500000,0.18199567835885969,35841724000000,0.34667651964736257,0,0.0
201707,107050050000000.0,2834570000000,0.02647892270951765,6480539000000,0.06053746822164025,21694135000000,0.20265413234276863,26965680500000,0.2518978786091179,35326004000000,0.3299952125197513,0,0.0
201708,106421400000000.0,2070650000000,0.019457082879947078,12471450500000,0.11718931060858061,17904524000000,0.16824176340472874,27167590000000,0.2552831479382906,35062678000000,0.3294701817491595,0,0.0
201709,107632500000000.0,1023231000000,0.00950671033377465,13398218000000,0.12448115578473044,15526825000000,0.14425777530021136,23691373000000,0.2201135623533784,36814732000000,0.34204103779063016,0,0.0
201710,101332600000000.0,5282050000000,0.05212587064774811,8844513000000,0.08728200993559822,16898622000000,0.16676392394944964,20163186750000,0.1989802566005412,36747075000000,0.36263823290826447,0,0.0
201711,97812900000000.0,1723160000000,0.017616899202456935,8528338000000,0.08719031947728777,17061703000000,0.1744320329936031,20591908750000,0.21052344578271373,40847750000000,0.4176110717502497,0,0.0
201712,98373850000000.0,2961469000000,0.030104229935089457,8859931750000,0.09006389147115824,28912497000000,0.29390429468807006,17091444500000,0.17373971334861857,33555165000000,0.341098421989177,0,0.0
201801,99757750000000.0,1971413000000,0.01976200345336578,8271627000000,0.08291713676381034,28302189000000,0.2837091754775945,18911251000000,0.18957174755846037,33997554000000,0.34080113073921575,0,0.0
201802,99609850000000.0,1404783000000,0.014102852278163254,6831001500000,0.06857757039088001,29914820000000,0.30031989808236836,21778664500000,0.21863966766338871,31164818000000,0.31286883777056185,0,0.0
201803,98334600000000.0,2850060000000,0.02898328767290455,9633233500000,0.09796382453378567,20346223000000,0.20690807711629478,29989454000000,0.3049735698319818,28560190000000,0.2904388689230444,0,0.0
201804,95400200000000.0,764150000000,0.008009941278949101,10409810000000,0.1091172764836971,21862439000000,0.229165546822753,30561499250000,0.32035047358391283,28467775000000,0.2984037245204937,0,0.0
201805,94599500000000.0,5274550000000,0.0557566371915285,12994718000000,0.13736560975480844,26970679120000,0.28510382317031274,23645758250000,0.2499564823281307,28782692000000,0.3042583946003943,0,0.0
201806,99950400000000.0,3400345000000,0.03402032408074405,9681271250000,0.0968607554346956,30432150120000,0.30447251956970656,22351796500000,0.22362888492692376,27633588000000,0.2764730106132642,0,0.0
201807,94007300000000.0,3641684000000,0.038738310748207855,8523576000000,0.09066929908634755,29300792120000,0.31168634903885123,24000070500000,0.25530007244118275,30383432000000,0.32320290020030357,0,0.0
201808,96205800000000.0,1972813000000,0.02050617530336009,8816415000000,0.09164120042658551,21042104000000,0.2187197029700912,31143115120000,0.3237134883759607,34084028800000,0.35428247361385695,0,0.0
201809,97397400000000.0,2530587700000,0.025982086790817826,12444802000000,0.1277734518580578,15303801000000,0.15712740791848653,31309359577197,0.32145991142676295,36851557800000,0.3783628495216505,0,0.0
201810,98734200000000.0,2407344000000,0.02438206821952272,16667289220000,0.16880968519520084,17507895000000,0.1773235110022667,23311351207197,0.23610209235702523,44752441800000,0.45326180593958326,0,0.0
201811,104794100000000.0,2464485457197,0.023517406582975568,9997196500000,0.09539846708927316,21594136000000,0.2060625168783357,19444743750000,0.18555189414289544,47874418040000,0.45684268522750804,0,0.0
201812,101521300000000.0,2836460000000,0.027939555541546455,9061392750000,0.08925607483355709,24523924240000,0.24156432433390826,16755054075423,0.16503979042253203,53619706800000,0.5281621374036779,0,0.0
201901,106839500000000.0,1383893000000,0.012953008952681358,6107347000000,0.05716375497826179,24869988240000,0.23277896508313872,22711166066989,0.2125727475979296,47887657520000,0.4482205319193744,0,0.0
201902,103003000000000.0,1166787066989,0.01132769984358708,8718269500000,0.08464092793413784,24082343040000,0.2338023459510888,25115819500000,0.2438358057532305,46046924720000,0.44704450083978137,0,0.0
201903,105173000000000.0,2357360000000,0.02241411769180303,12068104500000,0.1147452720755327,25683296520000,0.24420047464653477,24496833697197,0.23291941560283533,42199005000000,0.40123420459623665,0,0.0
